old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
FP-S18-SNAILS-1,FP-S18-SNAIL-1,0,FP,european garden snail,terbase,-25.805,-0.145,4.140274021
FP-S18-SNAILS-2,FP-S18-SNAIL-2,0,FP,european garden snail,terbase,-25.797,-0.196,4.163113981
FP-S18-SNAILS-3,FP-S18-SNAIL-3,0,FP,european garden snail,terbase,-25.795,-0.268,4.200269863
GF-S18-198-1,GF-S18-198-1,0,GF,common shiner,invertivore,-26.25027695,16.00853868,3.524057769
GF-S18-198-2,GF-S18-198-2,0,GF,common shiner,invertivore,-26.50327621,16.30709791,3.51958398
GF-S18-208-1,GF-S18-208-1,0,GF,bluntnose minnow,detritivore,-26.455039,15.19153539,3.288591581
GF-S18-341-1,GF-S18-341-1,0,GF,johnny darter,invertivore,-26.74347784,17.22093123,3.325912054
GF-S18-341-2,GF-S18-341-2,0,GF,johnny darter,invertivore,-26.30146746,17.443842,3.229691458
GF-S18-341-3,GF-S18-341-3,0,GF,johnny darter,invertivore,-25.56314278,18.29413062,3.305005545
GF-S18-630-1,GF-S18-630-1,0,GF,blacknose dace,invertivore,-26.85964092,17.93101804,3.473944184
GF-S18-ALG-1,GF-S18-ALG-1,0,GF,algae,algae,-23.1292464,12.37505871,10.7568883
GF-S18-ALG-2,GF-S18-ALG-2,0,GF,algae,algae,-22.69227636,12.38217526,10.73263349
GF-S18-ALG-3,GF-S18-ALG-3,0,GF,algae,algae,-22.7794722,12.49095684,10.63767235
GF-S18-CADDIS-1,GF-S18-CADDIS-1,0,GF,caddisfly,aqbase,-23.79214796,14.54499327,5.909716106
GF-S18-CADDIS-2 A,GF-S18-CADDIS-2 A,1,GF,caddisfly,aqbase,-24.15245041,14.6902383,5.926599629
GF-S18-CADDIS-2 B,GF-S18-CADDIS-2 B,1,GF,caddisfly,aqbase,-24.33850823,14.75277436,5.791307276
